year,storage_id,capacity_t,opening_t,inflow_t,losses_t,outflow_t,closing_t,average_stock_t,min_stock_t,max_stock_t
2035,BASE,70.0,15.0,115.0,5.175,100.0,24.825,19.9125,15.81875,24.825
2036,BASE,70.0,24.825,180.0,8.1,140.0,56.725,40.775,27.483333,56.725
2037,ZBO,120.0,56.725,190.0,2.28,190.0,54.445,55.585,54.445,56.535
2038,ZBO,120.0,54.445,285.0,3.42,287.5,48.525,51.485,48.525,53.951667
2039,ZBO,120.0,48.525,305.0,3.66,349.865,0.0,17.706875,0.0,42.97
2040,ZBO,120.0,0.0,330.0,3.96,326.04,0.0,0.0,0.0,0.0
