year,procurement_mln,reservation_mln,take_or_pay_topup_mln,holding_mln,fixed_opex_mln,capex_mln,initial_stock_mln,total_mln,discount_factor,pv_mln,cumulative_capex_mln
2035,753.5,47.25,0.0,14.337,0.0,90.0,133.5,1038.587,1.0,1038.587,90.0
2036,1224.0,69.0,0.0,29.358,0.0,270.0,0.0,1592.358,0.925926,1474.405556,360.0
2037,1178.0,85.5,0.0,40.0212,12.0,180.0,0.0,1495.5212,0.857339,1282.168381,540.0
2038,2200.875,110.25,0.0,37.0692,12.0,0.0,0.0,2360.1942,0.793832,1873.598251,540.0
2039,2309.125,120.0,0.0,12.74895,12.0,0.0,0.0,2453.87395,0.73503,1803.670608,540.0
2040,2190.0,126.0,0.0,0.0,12.0,0.0,0.0,2328.0,0.680583,1584.397683,540.0
