plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
v3-earth-response,MANDATORY_STRESS,demand,1.0,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,demand,1.05,False,2,10172.1,52.5,25.6,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.1,False,2,10152.3,107.7,0.2,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.15,False,2,10143.1,162.9,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.2,False,2,10139.2,218.1,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.25,False,2,10136.7,273.3,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.3,False,2,10135.0,328.5,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.35,False,2,10133.8,383.7,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,demand,1.4,False,2,10132.9,438.9,0.0,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,isru,1.0,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.95,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.9,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.85,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.8,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.75,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.7,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.65,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.6,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.55,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.5,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.45,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,isru,0.4,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.0,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.1,True,0,10618.4,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.2,True,0,11034.5,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.3,True,0,11450.6,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.4,True,0,11866.8,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.5,True,0,12282.9,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,price,1.6,True,0,12699.0,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,flex_delivery,1.0,True,0,10202.3,0.0,48.1,
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.9,True,0,10076.7,13.1,46.3,
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.8,False,1,9952.6,29.0,39.1,RESERVE_45D 2040
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.7,False,1,9829.6,44.8,31.9,RESERVE_45D 2040
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.6,False,1,9707.4,60.6,24.6,RESERVE_45D 2040
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.5,False,2,9586.0,76.4,17.4,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.4,False,2,9465.0,92.2,10.2,RESERVE_45D 2039
v3-earth-response,MANDATORY_STRESS,flex_delivery,0.3,False,2,9344.5,108.0,2.9,RESERVE_45D 2039
