plan_id,scenario_base,parameter,value,feasible,hard_violations,pv_total_mln,shortage_total_t,min_reserve_days,first_violation
v3-earth,BASE,demand,1.0,True,0,8643.5,0.0,54.8,
v3-earth,BASE,demand,1.05,False,1,8616.2,44.6,34.6,RESERVE_45D 2040
v3-earth,BASE,demand,1.1,False,1,8597.6,92.6,8.8,RESERVE_45D 2040
v3-earth,BASE,demand,1.15,False,1,8584.2,140.6,0.0,RESERVE_45D 2040
v3-earth,BASE,demand,1.2,False,2,8575.4,188.6,0.0,RESERVE_45D 2039
v3-earth,BASE,demand,1.25,False,2,8569.2,236.6,0.0,RESERVE_45D 2039
v3-earth,BASE,demand,1.3,False,2,8564.4,284.6,0.0,RESERVE_45D 2039
v3-earth,BASE,demand,1.35,False,2,8560.6,332.6,0.0,RESERVE_45D 2039
v3-earth,BASE,demand,1.4,False,2,8557.8,380.6,0.0,RESERVE_45D 2039
v3-earth,BASE,isru,1.0,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.95,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.9,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.85,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.8,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.75,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.7,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.65,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.6,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.55,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.5,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.45,True,0,8643.5,0.0,54.8,
v3-earth,BASE,isru,0.4,True,0,8643.5,0.0,54.8,
v3-earth,BASE,price,1.0,True,0,8643.5,0.0,54.8,
v3-earth,BASE,price,1.05,True,0,8781.1,0.0,54.8,
v3-earth,BASE,price,1.1,True,0,8918.8,0.0,54.8,
v3-earth,BASE,price,1.15,True,0,9056.4,0.0,54.8,
v3-earth,BASE,price,1.2,True,0,9194.0,0.0,54.8,
v3-earth,BASE,price,1.25,True,0,9331.7,0.0,54.8,
v3-earth,BASE,price,1.3,True,0,9469.3,0.0,54.8,
v3-earth,BASE,price,1.35,True,0,9607.0,0.0,54.8,
v3-earth,BASE,price,1.4,True,0,9744.6,0.0,54.8,
v3-earth,BASE,price,1.45,True,0,9882.2,0.0,54.8,
v3-earth,BASE,price,1.5,True,0,10019.9,0.0,54.8,
v3-earth,BASE,price,1.55,True,0,10157.5,0.0,54.8,
v3-earth,BASE,price,1.6,True,0,10295.1,0.0,54.8,
v3-earth,BASE,flex_delivery,1.0,True,0,8643.5,0.0,54.8,
v3-earth,BASE,flex_delivery,0.9,True,0,8621.0,0.0,54.8,
v3-earth,BASE,flex_delivery,0.8,True,0,8598.6,2.5,54.8,
v3-earth,BASE,flex_delivery,0.7,True,0,8576.2,5.5,54.8,
v3-earth,BASE,flex_delivery,0.6,True,0,8553.9,8.5,54.8,
v3-earth,BASE,flex_delivery,0.5,True,0,8531.6,11.4,53.8,
v3-earth,BASE,flex_delivery,0.4,True,0,8509.4,14.4,52.0,
v3-earth,BASE,flex_delivery,0.3,True,0,8487.2,17.3,50.1,
