metric,value
total_cost_mln,10731.983
pv_total_mln,8643.484507
capex_total_mln,540.0
procurement_mln,9237.5
reservation_mln,558.0
holding_mln,214.983
fixed_opex_mln,48.0
demand_total_t,1390.0
served_total_t,1390.0
shortage_total_t,0.0
shortage_critical_t,0.0
losses_t,26.595
cost_per_served_t_mln,7.720851
pv_per_served_t_mln,6.218334
min_service_level_total,1.0
min_service_level_critical,1.0
discount_rate,0.08
discount_base_year,2035
