scenario_id,plan_id,year,entity,metric,value,unit
MANDATORY_STRESS,base-v1,2038,hub,reserve_equivalent_days,63.687739,days
MANDATORY_STRESS,base-v1,2038,hub,storage_capacity_t,120.0,t
MANDATORY_STRESS,base-v1,2038,hub,max_stock_t,45.966667,t
MANDATORY_STRESS,base-v1,2038,hub,overflow_t,0.0,t
MANDATORY_STRESS,base-v1,2038,hub,emergency_base_channel,0,
MANDATORY_STRESS,base-v1,2038,hub,emergency_streak_years,0,
MANDATORY_STRESS,base-v1,2039,hub,demand_total_t,368.0,t
MANDATORY_STRESS,base-v1,2039,hub,demand_critical_t,241.5,t
MANDATORY_STRESS,base-v1,2039,hub,opening_stock_t,21.521,t
MANDATORY_STRESS,base-v1,2039,hub,ordered_t,330.0,t
MANDATORY_STRESS,base-v1,2039,hub,delivered_plan_t,330.0,t
MANDATORY_STRESS,base-v1,2039,hub,delivered_actual_t,320.0,t
MANDATORY_STRESS,base-v1,2039,hub,losses_t,3.84,t
MANDATORY_STRESS,base-v1,2039,hub,loss_share,0.012,share
MANDATORY_STRESS,base-v1,2039,hub,served_total_t,337.681,t
MANDATORY_STRESS,base-v1,2039,hub,served_critical_t,241.5,t
MANDATORY_STRESS,base-v1,2039,hub,shortage_total_t,30.319,t
MANDATORY_STRESS,base-v1,2039,hub,shortage_critical_t,0.0,t
MANDATORY_STRESS,base-v1,2039,hub,closing_stock_t,0.0,t
MANDATORY_STRESS,base-v1,2039,hub,service_level_total,0.917611,share
MANDATORY_STRESS,base-v1,2039,hub,service_level_critical,1.0,share
MANDATORY_STRESS,base-v1,2039,hub,reserve_required_t,45.369863,t
MANDATORY_STRESS,base-v1,2039,hub,reserve_days_at_start,21.345557,days
MANDATORY_STRESS,base-v1,2039,hub,reserve_equivalent_days,21.345557,days
MANDATORY_STRESS,base-v1,2039,hub,storage_capacity_t,120.0,t
MANDATORY_STRESS,base-v1,2039,hub,max_stock_t,17.201,t
MANDATORY_STRESS,base-v1,2039,hub,overflow_t,0.0,t
MANDATORY_STRESS,base-v1,2039,hub,emergency_base_channel,0,
MANDATORY_STRESS,base-v1,2039,hub,emergency_streak_years,0,
MANDATORY_STRESS,base-v1,2040,hub,demand_total_t,448.5,t
MANDATORY_STRESS,base-v1,2040,hub,demand_critical_t,287.5,t
MANDATORY_STRESS,base-v1,2040,hub,opening_stock_t,0.0,t
MANDATORY_STRESS,base-v1,2040,hub,ordered_t,400.0,t
MANDATORY_STRESS,base-v1,2040,hub,delivered_plan_t,400.0,t
MANDATORY_STRESS,base-v1,2040,hub,delivered_actual_t,400.0,t
MANDATORY_STRESS,base-v1,2040,hub,losses_t,4.8,t
MANDATORY_STRESS,base-v1,2040,hub,loss_share,0.012,share
MANDATORY_STRESS,base-v1,2040,hub,served_total_t,395.2,t
MANDATORY_STRESS,base-v1,2040,hub,served_critical_t,287.5,t
MANDATORY_STRESS,base-v1,2040,hub,shortage_total_t,53.3,t
MANDATORY_STRESS,base-v1,2040,hub,shortage_critical_t,0.0,t
MANDATORY_STRESS,base-v1,2040,hub,closing_stock_t,0.0,t
MANDATORY_STRESS,base-v1,2040,hub,service_level_total,0.881159,share
MANDATORY_STRESS,base-v1,2040,hub,service_level_critical,1.0,share
MANDATORY_STRESS,base-v1,2040,hub,reserve_required_t,55.294521,t
MANDATORY_STRESS,base-v1,2040,hub,reserve_days_at_start,0.0,days
MANDATORY_STRESS,base-v1,2040,hub,reserve_equivalent_days,0.0,days
MANDATORY_STRESS,base-v1,2040,hub,storage_capacity_t,120.0,t
MANDATORY_STRESS,base-v1,2040,hub,max_stock_t,0.0,t
MANDATORY_STRESS,base-v1,2040,hub,overflow_t,0.0,t
MANDATORY_STRESS,base-v1,2040,hub,emergency_base_channel,0,
MANDATORY_STRESS,base-v1,2040,hub,emergency_streak_years,0,
MANDATORY_STRESS,base-v1,2035,A,available,1,bool
MANDATORY_STRESS,base-v1,2035,A,available_months,12,months
MANDATORY_STRESS,base-v1,2035,A,capacity_t,190.0,t
MANDATORY_STRESS,base-v1,2035,A,capacity_available_t,190.0,t
MANDATORY_STRESS,base-v1,2035,A,reserved_capacity_t,100.0,t
MANDATORY_STRESS,base-v1,2035,A,ordered_t,95.0,t
MANDATORY_STRESS,base-v1,2035,A,delivered_plan_t,95.0,t
MANDATORY_STRESS,base-v1,2035,A,delivered_actual_t,95.0,t
MANDATORY_STRESS,base-v1,2035,A,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2035,A,payable_volume_t,95.0,t
MANDATORY_STRESS,base-v1,2035,A,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2035,A,price_mln_per_t,6.2,t
MANDATORY_STRESS,base-v1,2035,A,base_price_mln_per_t,6.2,t
MANDATORY_STRESS,base-v1,2035,A,variable_payment_mln,589.0,mln
MANDATORY_STRESS,base-v1,2035,A,reservation_payment_mln,45.0,mln
MANDATORY_STRESS,base-v1,2035,A,total_payment_mln,634.0,mln
MANDATORY_STRESS,base-v1,2035,A,reliability,0.96,share
MANDATORY_STRESS,base-v1,2035,B,available,1,bool
MANDATORY_STRESS,base-v1,2035,B,available_months,12,months
MANDATORY_STRESS,base-v1,2035,B,capacity_t,110.0,t
MANDATORY_STRESS,base-v1,2035,B,capacity_available_t,110.0,t
MANDATORY_STRESS,base-v1,2035,B,reserved_capacity_t,30.0,t
MANDATORY_STRESS,base-v1,2035,B,ordered_t,20.0,t
MANDATORY_STRESS,base-v1,2035,B,delivered_plan_t,20.0,t
MANDATORY_STRESS,base-v1,2035,B,delivered_actual_t,20.0,t
MANDATORY_STRESS,base-v1,2035,B,delivery_share,1.0,share
