metric,value
total_cost_mln,12869.1222
pv_total_mln,10202.277442
capex_total_mln,540.0
procurement_mln,11375.25
reservation_mln,585.75
holding_mln,186.6222
fixed_opex_mln,48.0
demand_total_t,1534.0
served_total_t,1534.0
shortage_total_t,0.0
shortage_critical_t,0.0
losses_t,28.335
cost_per_served_t_mln,8.389258
pv_per_served_t_mln,6.650768
min_service_level_total,1.0
min_service_level_critical,1.0
discount_rate,0.08
discount_base_year,2035
