metric,value
total_cost_mln,12623.14487
pv_total_mln,10215.679288
capex_total_mln,1790.0
procurement_mln,9751.5
reservation_mln,594.0
holding_mln,96.14487
fixed_opex_mln,258.0
demand_total_t,1534.0
served_total_t,1450.381
shortage_total_t,83.619
shortage_critical_t,0.0
losses_t,26.619
cost_per_served_t_mln,8.70333
pv_per_served_t_mln,7.043445
min_service_level_total,0.881159
min_service_level_critical,1.0
discount_rate,0.08
discount_base_year,2035
