year,storage_id,capacity_t,opening_t,inflow_t,losses_t,outflow_t,closing_t,average_stock_t,min_stock_t,max_stock_t
2035,BASE,70.0,15.0,115.0,5.175,100.0,24.825,19.9125,15.81875,24.825
2036,BASE,70.0,24.825,160.0,7.2,140.0,37.625,31.225,25.891667,37.625
2037,ZBO,120.0,37.625,205.0,2.46,190.0,50.165,43.895,38.67,50.165
2038,ZBO,120.0,50.165,262.0,3.144,287.5,21.521,34.031667,21.521,45.966667
2039,ZBO,120.0,21.521,320.0,3.84,337.681,0.0,4.470375,0.0,17.201
2040,ZBO,120.0,0.0,400.0,4.8,395.2,0.0,0.0,0.0,0.0
